Kumite Individual Male - Senior +84 kg,,,
Kumite Individual Male - Senior +84 kg,,,
1,RIVEST ALEXANDRE-BENJAMIN,Karate Quebec,CANADA
,,(c)sportdata GmbH & Co KG 2000-2018(2018-03-11,
,,17:45) -WKF Approved- v 9.6.2 build 1 License:EL Karate,6 / 11
,,Canada National Championships 2018 (expire 2018-03-29),
,,Karate Canada National,
,,Championships 2018 - 2018-03-09,
,,Official Results,
2,Vasic Cedomir,Team British Columbia,CANADA
3,Naeth Steve,Team British Columbia,CANADA
4,Smith_Pensrinukun Roland,Team Nova Scotia,CANADA
Kumite Individual Male - Senior -60 kg,,,
Kumite Individual Male - Senior -60 kg,,,
1,Khaleghpanah Amir,OKF Team Ontario,CANADA
2,Holovko Artem,OKF Team Ontario,CANADA
3,Zipenco Gari,OKF Team Ontario,CANADA
4,Besso Nathaniel,Team Newfoundland & Labrador,CANADA
Kumite Individual Male - Senior -67 kg,,,
Kumite Individual Male - Senior -67 kg,,,
1,Chenard Jérémy,Karate Quebec,CANADA
2,ONeil Ryan,Team Nova Scotia,CANADA
3,Bisson Jean-Sébastien,Karate Quebec,CANADA
4,Esufali Asad,OKF Team Ontario,CANADA
Kumite Individual Male - Senior -75 kg,,,
Kumite Individual Male - Senior -75 kg,,,
1,Boily-Martineau Patrice,Karate Quebec,CANADA
2,RIVEST NICHOLAS-PATRICK,Karate Quebec,CANADA
3,TREMBLAY GUILLAUME,Karate Quebec,CANADA
4,Nilforoushan Arash,OKF Team Ontario,CANADA
Kumite Individual Male - Senior -84 kg,,,
Kumite Individual Male - Senior -84 kg,,,
1,SOUCY PHILIPPE,Karate Quebec,CANADA
2,ONeil Sean,Team Nova Scotia,CANADA
3,Dhillon Shaun,Team British Columbia,CANADA
4,Sinani Sarmen,OKF Team Ontario,CANADA
Kumite Individual Male - U21 +84 kg,,,
Kumite Individual Male - U21 +84 kg,,,
1,Sanghera Jaikaran,Team British Columbia,CANADA
2,RIVEST ALEXANDRE-BENJAMIN,Karate Quebec,CANADA
3,Coady Christopher,Team Newfoundland & Labrador,CANADA
4,Au Andrew,Team Newfoundland & Labrador,CANADA
Kumite Individual Male - U21 -60 kg,,,
Kumite Individual Male - U21 -60 kg,,,
1,Holovko Artem,OKF Team Ontario,CANADA
2,Bagherzadeh Mehrdad,OKF Team Ontario,CANADA
3,Zipenco Gari,OKF Team Ontario,CANADA
4,Dufresne Vincent,Karate Quebec,CANADA
Kumite Individual Male - U21 -67 kg,,,
Kumite Individual Male - U21 -67 kg,,,
1,Chenard Jérémy,Karate Quebec,CANADA
2,Majlesi_Taklimi Hossein,OKF Team Ontario,CANADA
3,Gill Aarjan,Team British Columbia,CANADA
4,LÉGER ALEX,Karate Quebec,CANADA
Kumite Individual Male - U21 -75 kg,,,
Kumite Individual Male - U21 -75 kg,,,
1,Jansiz Ali,OKF Team Ontario,CANADA
,,(c)sportdata GmbH & Co KG 2000-2018(2018-03-11,
,,17:45) -WKF Approved- v 9.6.2 build 1 License:EL Karate,7 / 11
,,Canada National Championships 2018 (expire 2018-03-29),
,,Karate Canada National,
,,Championships 2018 - 2018-03-09,
,,Official Results,
2,Khodabakhshi Parsa,Team British Columbia,CANADA
3,Marcano-Araujo Carlos,Team Alberta,CANADA
4,Nilforoushan Arash,OKF Team Ontario,CANADA
Kumite Individual Male - U21 -84 kg,,,
Kumite Individual Male - U21 -84 kg,,,
1,ST-ARNEAULT ALEXANDRE,Karate Quebec,CANADA
2,Gill Navzab,OKF Team Ontario,CANADA
3,Aguilera Fernando,Team British Columbia,CANADA
4,Raman Baldeep,OKF Team Ontario,CANADA
Kumite Individual Male - Youth +55kg,,,
Kumite Individual Male - Youth +55kg,,,
1,Crites Pierre-Olivier,Karate Quebec,CANADA
2,ZIANI SAMY,Karate Quebec,CANADA
3,Jack Hann,Team Newfoundland & Labrador,CANADA
4,Imre Emanuel,OKF Team Ontario,CANADA
Kumite Individual Male - Youth -35 kg,,,
Kumite Individual Male - Youth -35 kg,,,
1,Talib Liam,OKF Team Ontario,CANADA
2,Berretta Dylan,Team British Columbia,CANADA
3,Seemann Mark,Karate PEI,CANADA
4,LEHAD KHELLAF,Karate Quebec,CANADA
Kumite Individual Male - Youth -40 kg,,,
Kumite Individual Male - Youth -40 kg,,,
1,Sokolovski Alexei,OKF Team Ontario,CANADA
2,Anandkumar Vikrant,Team British Columbia,CANADA
3,Sharma Rishi,Team British Columbia,CANADA
4,Couture Nicholas,OKF Team Ontario,CANADA
Kumite Individual Male - Youth -45 kg,,,
Kumite Individual Male - Youth -45 kg,,,
1,Mata Gabriel,Team Alberta,CANADA
2,Nakajima Kaichi,Team British Columbia,CANADA
3,Bhandol Takdeer,Team British Columbia,CANADA
4,Stephen Andrew,OKF Team Ontario,CANADA
Kumite Individual Male - Youth -50 kg,,,
Kumite Individual Male - Youth -50 kg,,,
1,Ivanov Alex,OKF Team Ontario,CANADA
2,Lumley Ethan,OKF Team Ontario,CANADA
3,Spur Brayden,Team British Columbia,CANADA
4,Alkurdi Gassan,Team Nova Scotia,CANADA
Kumite Individual Male - Youth -55kg,,,
Kumite Individual Male - Youth -55kg,,,
1,Galaman Daniel,OKF Team Ontario,CANADA
2,Pareja Ezekiel,Team British Columbia,CANADA
3,Winters Tommy,Karate New Brunswick,CANADA
Kumite Team Female - Senior,,,
Kumite Team Female - Senior,,,
1,Team Atlantic,Team Atlantic,CANADA
,,(c)sportdata GmbH & Co KG 2000-2018(2018-03-11,
,,17:45) -WKF Approved- v 9.6.2 build 1 License:EL Karate,8 / 11
,,Canada National Championships 2018 (expire 2018-03-29),
,,Karate Canada National,,
,,Championships 2018 - 2018-03-09,,
,,Official Results,,
,- Hathi Yashna,,,
,- Pond Hilary,,,
,- Campbell Kate,,,
,- Deveau Trysten,,,
2,BC TEAM,Team British Columbia,,CANADA
,- Virk Jusleen,,,
,- Fookes Danielle,,,
,- Zaborniak Alexandra,,,
,- Chan Isabel,,,
3,Québec Kumite Sr F,Karate Quebec,,CANADA
,- Boulé Marianne,,,
,- Desjardins Kamille,,,
,- FURUMOTO-DESHAIES HANA,,,
,- Boisvenue Camélie,,,
