Year,Athlete,Result,Event,Category,Age Group,Classification,Team Result,,,,
2018,Meera Minhas,2,kumite,U14 +45,Youth,Junior,,,,,
2018,Kole Macmillan,1,kumite,U14 -57,Youth,Junior,,,,,
2018,Isaiah Ingram,4,kumite,U16 -57,Cadet,Junior,,,,,
2018,Michael Plunkett,1,kumite,U18 -55,Junior,Junior,,,,,
2018,Zach Fong,3,kumite,U18 -61,Junior,Junior,,,,,
2018,Justin Ng,1,kumite,U18 -76,Junior,Junior,,,,,
2018,Cedomir Vasic,2,kumite,18+ +84,Senior,Senior,,,,,
2018,Shaun Dhillon,3,kumite,18+ -84,Senior,Senior,,,,,
2018,Jai Sanghera,1,kumite,U21 +84,U21,Junior,,,,,
2018,Aarjan Gill,3,kumite,U21 -67,U21,Junior,,,,,
2018,Rishi Sharma,3,kumite,U14 -40,Youth,Junior,,,,,
2018,Ezekiel Pareja,2,kumite,U14 -55,Youth,Junior,,,,,
2018,Ezekiel Pareja,1,kumite,PKF -50,Youth,Junior,,,,,
2018,Stephanie Zaborniak,2,kumite,YOG -53,Youth,Junior,,,,,
2018,Maya Soehardi,3,kumite,YOG -53,Youth,Junior,,,,,
2018,Michael Plunkett,1,kumite,YOG -61,Youth,Junior,,,,,
2018,Amr Fahmy,1,kata,U18 ,Junior,Junior,,,,,
2018,Amr Fahmy,3,kata,U21 Kata,U21,Junior,,,,,
2018,Amr Fahmy,,kata,U21 Team,U21,Junior,1,,,,
2018,Shalene Lee,2,kata,U21,U21,Junior,,,,,
2018,Shalene Lee,3,kumite,U21 -61,U21,Junior,,,,,
2019,Jusleen Virk,1,kumite,18+ -50,Senior,Senior,,,,,
2019,Isabel Chan,4,kumite,18+ -50,Senior,Senior,,,,,
2019,Alexandra Zaborniak,2,kumite,18+ -68,Senior,Senior,,,,,
2019,Shaun Dhillon,3,kumite,18+ -84,Senior,Senior,,,,,
2019,Caitlin Lam,3,kumite,U18 -48,Junior,Junior,,,,,
2019,Maya Soehardi,3,kumite,U18 -53,Junior,Junior,,,,,
2019,Melissa Chan,1,kumite,U21 -50,U21,Junior,,,,,
2019,Angelica Gomez-Lalonde,1,kumite,U21 -61,U21,Junior,,,,,
2019,Hayden Smith,2,kumite,U16 -70,Cadet,Junior,,,,,
2019,Kole Macmillan,3,kumite,U18 -61,Junior,Junior,,,,,
2019,Michael Plunkett,2,kumite,U21 -60,U21,Junior,,,,,
2019,Jamie Sutherland,1,kumite,U14 +55,Youth,Junior,,,,,
2019,Skyler Tanahara,1,kumite,U14 -40,Youth,Junior,,,,,
2019,Daniel Friedman,3,kumite,U14 -55,Youth,Junior,,,,,
2019,Layan Haouaoui,4,kumite,U16 +54,Cadet,Junior,,,,,
2019,Sheja Rubayi,4,kumite,U16 +70,Cadet,Junior,,,,,
